label,voxels_hit,total_MeV,core_MeV,surface_MeV,surf_core,mean_depth_mm,avg_RBE,synergy,deliverability,core_hit,score
Gamma + Neutron + Alpha,11937,13433.6,8004.1,5032.8,0.629,22.58,8.0,1.7,1.0,Yes,108.002
Gamma + Alpha,2734,11375.5,7677.6,3630.7,0.473,24.12,10.5,1.35,1.0,Yes,103.728
Neutron + Alpha,11116,13058.1,7926.3,4802.2,0.606,22.85,11.5,1.2,1.0,Yes,81.124
Gamma + Neutron + Carbon Ion + Alpha,18325,689909.1,137936.2,422466.9,3.063,12.99,6.88,1.95,1.0,Yes,45.488
Gamma + Neutron + Carbon Ion,18242,678909.1,130336.3,419066.7,3.215,12.8,2.5,1.95,1.0,Yes,37.837
Gamma + Carbon Ion + Alpha,11611,687851.0,137609.7,421064.8,3.06,12.98,8.17,1.5,1.0,Yes,34.447
Neutron + Carbon Ion + Alpha,18010,689533.7,137858.4,422236.3,3.063,12.99,8.83,1.3,1.0,Yes,32.153
Gamma + Carbon Ion,11508,676851.0,130009.8,417664.7,3.213,12.8,2.25,1.5,1.0,Yes,26.818
Alpha,1264,11000.0,7599.8,3400.2,0.447,24.48,20.0,1.0,0.3,Yes,25.984
Neutron + Carbon Ion,17924,678533.7,130258.5,418836.1,3.215,12.8,3.25,1.3,1.0,Yes,25.872
Carbon Ion + Alpha,11265,687475.5,137531.9,420834.2,3.06,12.98,11.75,1.0,1.0,Yes,25.583
Gamma,1699,375.5,77.8,230.6,2.964,13.45,1.0,1.0,1.0,Yes,16.103
Carbon Ion,11157,676475.5,129932.0,417434.1,3.213,12.8,3.5,1.0,1.0,Yes,15.933
Gamma + Neutron,11308,2433.6,404.3,1632.6,4.038,14.0,2.0,1.0,1.0,Yes,15.347
Neutron,10365,2058.1,326.5,1402.0,4.294,14.11,3.0,1.0,1.0,Yes,15.315
