Rep,Core_MeV,Total_MeV,Ratio,Voxels,Depth_mm,Score
1,11786.1210,67658.7554,4.7405,4249,25.11,2481.0041
2,12727.7423,68828.6716,4.4078,4170,25.63,2881.0349
3,12984.1436,70722.9663,4.4469,3761,26.51,2913.2863
4,14483.0915,71414.3753,3.9309,3968,26.23,3675.0914
5,10505.5984,66893.4748,5.3674,3908,24.48,1953.6532
6,12164.3030,67622.6972,4.5591,3947,25.02,2662.2916
7,12360.3785,69426.9568,4.6169,4548,25.28,2671.4193
8,11109.0329,68382.9010,5.1556,4355,24.14,2150.5742
9,11042.5021,67994.3317,5.1575,4090,25.15,2136.9091
10,11427.6752,68836.9001,5.0237,4415,25.61,2270.2332
