G,N,C,A,phase,varied_ray,varied_count,total_particles,voxels,total_MeV,core_MeV,surf_core,core_per_particle,score
2000,2000,500,2000,single_vary,Carbon Ion,500,6500,1253,11000.0,7862.2,0.399,1.2096,97.097
1000,1000,1000,1000,equal,All equal,1000,4000,785,5500.0,3871.1,0.421,0.9678,93.384
2000,2000,5000,2000,single_vary,Carbon Ion,5000,11000,1281,11000.0,7708.7,0.427,0.7008,92.508
2000,1000,1000,2000,single_vary,Neutron,1000,6000,1273,11000.0,7702.2,0.428,1.2837,92.322
5,5,2,5,candidate,combo,0,17,1823,27500.0,19233.9,0.43,1131.4056,92.184
5,5,1,5,candidate,combo,0,16,1802,27500.0,19204.4,0.432,1200.277,91.844
5,2,1,5,candidate,combo,0,13,1826,27500.0,19175.4,0.434,1475.0295,91.519
5,5,5,5,candidate,combo,0,20,1812,27500.0,19165.9,0.435,958.2965,91.41
2000,2000,1000,5000,single_vary,Alpha,5000,10000,1812,27500.0,19129.8,0.438,1.913,91.004
2,5,1,5,candidate,combo,0,13,1815,27500.0,19031.1,0.445,1463.9284,89.909
5000,2000,1000,2000,single_vary,Gamma,5000,10000,1271,11000.0,7606.8,0.446,0.7607,89.646
1,5,5,5,candidate,combo,0,16,1803,27500.0,18986.1,0.448,1186.6328,89.415
500,500,500,500,equal,All equal,500,2000,460,2750.0,1898.3,0.449,0.9492,89.117
1000,2000,1000,2000,single_vary,Gamma,1000,6000,1261,11000.0,7574.7,0.452,1.2624,88.771
5,5,5,5,candidate,combo,0,20,1818,27500.0,18926.0,0.453,946.302,88.767
5000,5000,5000,5000,equal,All equal,5000,20000,1818,27500.0,18926.0,0.453,0.9463,88.767
500,2000,1000,2000,single_vary,Gamma,500,5500,1280,11000.0,7573.2,0.452,1.3769,88.734
2000,2000,1000,1000,single_vary,Alpha,1000,6000,798,5500.0,3780.4,0.455,0.6301,88.304
2000,500,1000,2000,single_vary,Neutron,500,5500,1258,11000.0,7550.6,0.457,1.3728,88.125
2000,2000,1000,2000,single_vary,Neutron,2000,7000,1245,11000.0,7547.8,0.457,1.0783,88.047
2000,2000,1000,2000,single_vary,Alpha,2000,7000,1245,11000.0,7547.8,0.457,1.0783,88.047
2000,2000,1000,2000,single_vary,Carbon Ion,1000,7000,1245,11000.0,7547.8,0.457,1.0783,88.047
2000,2000,1000,2000,single_vary,Gamma,2000,7000,1245,11000.0,7547.8,0.457,1.0783,88.047
2000,5000,1000,2000,single_vary,Neutron,5000,10000,1251,11000.0,7522.2,0.462,0.7522,87.369
2000,2000,1000,500,single_vary,Alpha,500,5500,445,2750.0,1873.5,0.468,0.3406,86.473
2000,2000,2000,2000,equal,All equal,2000,8000,1263,11000.0,7476.0,0.471,0.9345,86.168
2000,2000,2000,2000,single_vary,Carbon Ion,2000,8000,1263,11000.0,7476.0,0.471,0.9345,86.168
