order,combo,n_rays,voxels,total_MeV,core_MeV,surf_core,mean_depth,score
Gamma -> Carbon Ion -> Alpha,ACG,3,1254,11000.0,7863.4,0.399,24.53,97.135
Gamma -> Neutron -> Carbon Ion -> Alpha,ACGN,4,1253,11000.0,7862.2,0.399,24.41,97.097
Gamma -> Carbon Ion -> Neutron -> Alpha,ACGN,4,1246,11000.0,7844.5,0.402,24.52,96.549
Carbon Ion -> Gamma -> Neutron -> Alpha,ACGN,4,1233,11000.0,7769.2,0.416,24.54,94.269
Neutron -> Gamma -> Carbon Ion -> Alpha,ACGN,4,1249,11000.0,7665.7,0.435,24.5,91.278
Carbon Ion -> Neutron -> Gamma -> Alpha,ACGN,4,1234,10999.7,7653.0,0.437,24.63,90.926
Neutron -> Carbon Ion -> Gamma -> Alpha,ACGN,4,1289,11000.0,7633.2,0.441,24.43,90.378
Carbon Ion -> Neutron -> Alpha,ACN,3,1255,11000.0,7589.7,0.449,24.53,89.175
Gamma -> Neutron -> Alpha,AGN,3,1277,11000.0,7576.0,0.452,24.44,88.809
Neutron -> Carbon Ion -> Alpha,ACN,3,1262,11000.0,7564.9,0.454,24.45,88.507
Carbon Ion -> Gamma -> Alpha,ACG,3,1260,11000.0,7474.0,0.472,24.4,86.118
Neutron -> Gamma -> Alpha,AGN,3,1270,11000.0,7443.0,0.478,24.39,85.327
Alpha -> Carbon Ion -> Gamma -> Neutron,ACGN,4,9782,2011.4,353.4,3.579,13.72,17.708
Carbon Ion -> Alpha -> Neutron,ACN,3,9925,2001.2,354.6,3.649,13.84,17.677
Carbon Ion -> Alpha -> Gamma -> Neutron,ACGN,4,10212,2023.9,353.3,3.666,14.17,17.572
Carbon Ion -> Gamma -> Alpha -> Neutron,ACGN,4,10184,2038.6,355.0,3.672,14.17,17.535
Alpha -> Carbon Ion -> Neutron,ACN,3,10231,2007.1,349.9,3.735,14.06,17.438
Alpha -> Gamma -> Carbon Ion -> Neutron,ACGN,4,10267,2051.6,351.9,3.757,14.15,17.265
Carbon Ion -> Gamma -> Neutron,CGN,3,10118,2009.3,342.0,3.811,14.09,17.078
Gamma -> Alpha -> Carbon Ion -> Neutron,ACGN,4,9986,2011.7,340.1,3.847,13.81,16.932
Neutron -> Alpha -> Carbon Ion,ACN,3,8444,320255.5,54288.2,3.727,12.39,16.855
Gamma -> Alpha -> Carbon Ion,ACG,3,8389,316317.8,51891.4,3.877,12.3,16.311
Gamma -> Carbon Ion -> Alpha -> Neutron,ACGN,4,10480,2111.6,341.5,4.109,13.64,16.251
Alpha -> Neutron -> Carbon Ion -> Gamma,ACGN,4,1635,338.9,59.3,3.48,12.5,16.243
Carbon Ion -> Alpha -> Gamma,ACG,3,1680,346.6,62.2,3.612,13.28,16.204
Gamma -> Carbon Ion -> Neutron,CGN,3,10426,2126.8,342.5,4.146,13.55,16.151
Alpha -> Gamma -> Neutron,AGN,3,9988,2043.0,326.3,4.057,13.47,16.13
Gamma -> Alpha -> Neutron,AGN,3,10201,2055.1,326.8,4.068,13.52,16.122
Neutron -> Gamma -> Carbon Ion,CGN,3,8038,316267.8,51344.4,3.943,12.27,16.05
Alpha -> Neutron -> Carbon Ion,ACN,3,7583,319528.6,52022.9,3.903,12.24,16.046
Alpha -> Gamma -> Neutron -> Carbon Ion,ACGN,4,7797,315846.9,51200.5,3.927,12.2,16.015
Gamma -> Neutron -> Alpha -> Carbon Ion,ACGN,4,7959,317551.4,51338.0,3.934,12.19,16.013
Neutron -> Alpha -> Gamma -> Carbon Ion,ACGN,4,8445,316362.1,50277.7,4.046,12.28,15.8
Gamma -> Neutron -> Carbon Ion,CGN,3,7120,315280.1,50674.3,3.955,12.11,15.765
Alpha -> Neutron -> Gamma -> Carbon Ion,ACGN,4,7597,318670.9,50913.7,3.996,12.25,15.749
Neutron -> Gamma -> Alpha -> Carbon Ion,ACGN,4,8102,319198.6,50595.5,4.043,12.27,15.714
Alpha -> Gamma -> Carbon Ion,ACG,3,7690,314348.3,49497.1,4.085,12.18,15.517
Neutron -> Alpha -> Carbon Ion -> Gamma,ACGN,4,1683,350.0,58.5,3.828,13.03,15.21
Gamma -> Alpha -> Neutron -> Carbon Ion,ACGN,4,8217,313675.8,47192.3,4.31,12.14,14.953
Neutron -> Carbon Ion -> Alpha -> Gamma,ACGN,4,1700,358.2,54.8,4.21,12.5,13.913
Carbon Ion -> Neutron -> Gamma,CGN,3,1597,336.9,49.6,4.587,12.48,13.114
Neutron -> Alpha -> Gamma,AGN,3,1597,332.2,47.8,4.487,12.55,13.068
Alpha -> Carbon Ion -> Gamma,ACG,3,1602,336.5,48.8,4.668,12.36,12.916
Alpha -> Neutron -> Gamma,AGN,3,1594,330.9,47.1,4.562,12.62,12.906
Neutron -> Carbon Ion -> Gamma,CGN,3,1753,368.0,51.9,4.7,12.37,12.71
Alpha -> Carbon Ion -> Neutron -> Gamma,ACGN,4,1713,362.8,50.7,4.734,12.3,12.6
Carbon Ion -> Alpha -> Neutron -> Gamma,ACGN,4,1625,344.1,44.0,5.453,12.39,11.292
Carbon Ion -> Neutron -> Alpha -> Gamma,ACGN,4,1636,348.4,42.7,5.751,12.4,10.788
