Combo,N_Rays,Core_MeV,Total_MeV,Ratio,Voxels,Score
Gamma + Carbon Ion + Alpha,3,12191.2873,68783.3609,4.6420,4400,2620.6496
Gamma + Neutron + Carbon Ion + Alpha,4,11220.9131,66570.1344,4.9327,7133,2270.2063
Neutron + Carbon Ion + Alpha,3,11398.3974,68529.9876,5.0122,6161,2269.5809
Neutron + Carbon Ion,2,11164.3956,66515.9236,4.9579,6483,2247.3242
Carbon Ion + Alpha,2,10855.5427,68816.4852,5.3393,4109,2029.3409
Gamma + Carbon Ion,2,10669.9830,67164.7951,5.2947,4089,2011.4045
Gamma + Neutron + Carbon Ion,3,9569.3228,66223.9481,5.9204,6189,1613.5934
Neutron + Alpha,2,1084.7563,2147.3062,0.9795,2968,1096.2355
Gamma + Alpha,2,892.0962,1670.1011,0.8721,378,1011.3222
Gamma + Neutron + Alpha,3,1022.6320,2128.8432,1.0817,2861,936.7083
Gamma + Neutron,2,67.3586,503.2047,6.4705,2733,10.3940
