# mesh name: rodMesh
# primitive scorer name: eDep
# iX, iY, iZ, total(value) [MeV], total(val^2), entry
0,0,0,0,0,0
0,0,1,0,0,0
0,0,2,0,0,0
0,0,3,0,0,0
0,0,4,0,0,0
0,0,5,0,0,0
0,0,6,0,0,0
0,0,7,0,0,0
0,0,8,0,0,0
0,0,9,0,0,0
0,0,10,0,0,0
0,0,11,0,0,0
0,0,12,0,0,0
0,0,13,0,0,0
0,0,14,0,0,0
0,0,15,0,0,0
0,0,16,0,0,0
0,0,17,0,0,0
0,0,18,0,0,0
0,0,19,0,0,0
0,0,20,0,0,0
0,0,21,0,0,0
0,0,22,0,0,0
0,0,23,0,0,0
0,0,24,0,0,0
0,0,25,0.02309856148370854,0.0005335435426166634,1
0,0,26,0,0,0
0,0,27,0,0,0
0,0,28,0,0,0
0,0,29,0,0,0
0,0,30,0,0,0
0,0,31,0,0,0
0,0,32,0,0,0
0,0,33,0,0,0
0,0,34,0,0,0
0,0,35,0,0,0
0,0,36,0.1321014305521375,0.0174507879539212,1
0,0,37,0.02851246411395855,0.0008129606098497738,1
0,0,38,0.2295326487306725,0.05268523683331831,1
0,0,39,0,0,0
0,0,40,0.1393993431420621,0.01943217686843839,1
0,0,41,0.1998398419656079,0.03993596243683913,1
0,0,42,0,0,0
0,0,43,0,0,0
0,0,44,0,0,0
0,0,45,0,0,0
0,0,46,0,0,0
0,0,47,0.6116713770748773,0.3741418735326767,1
0,0,48,0,0,0
0,0,49,0,0,0
0,0,50,0,0,0
0,0,51,0,0,0
0,0,52,0,0,0
0,0,53,0,0,0
0,0,54,0,0,0
0,0,55,0,0,0
0,0,56,0,0,0
0,0,57,0,0,0
0,0,58,0,0,0
0,0,59,0,0,0
0,0,60,0,0,0
0,0,61,0,0,0
0,0,62,0,0,0
0,0,63,0,0,0
0,0,64,0,0,0
0,0,65,0,0,0
0,0,66,0,0,0
0,0,67,0,0,0
0,0,68,0,0,0
0,0,69,0.03530006532129148,0.001246094611687446,1
0,0,70,0.2548668056374905,0.0471738520170347,2
0,0,71,1.160694699375856,1.347212185159209,1
0,0,72,0.1326073716437882,0.01758471501427377,1
0,0,73,0,0,0
0,0,74,0.7244539387914974,0.5248335094305148,1
0,0,75,0,0,0
0,0,76,0,0,0
0,0,77,0,0,0
0,0,78,0,0,0
0,0,79,0,0,0
0,0,80,0.1956190853487868,0.03826682655269595,1
0,0,81,0.815403706916249,0.66488320525276,1
0,0,82,0,0,0
0,0,83,0,0,0
0,0,84,0.3212386067014068,0.1031942424354611,1
0,0,85,0.08950213586699732,0.008010632324754447,1
0,0,86,0,0,0
0,0,87,0,0,0
0,0,88,0,0,0
0,0,89,0,0,0
0,0,90,0.507950369978337,0.2580135783611294,1
0,0,91,0.5855029713443837,0.3428137294531022,1
0,0,92,2.058139204395915,4.235936984671452,1
0,0,93,0.282535196544556,0.07982613728647089,1
0,0,94,0,0,0
0,0,95,0.01767727367824117,0.0003124860046954382,1
0,0,96,0.0132407711028824,0.0001753180193989256,1
0,0,97,1.877036098105308,3.523264513590399,1
0,0,98,0.3332068710243911,0.1110268188978652,1
0,0,99,0,0,0
0,1,0,0,0,0
0,1,1,0,0,0
0,1,2,0,0,0
0,1,3,0,0,0
0,1,4,0,0,0
0,1,5,0,0,0
0,1,6,0,0,0
0,1,7,0,0,0
0,1,8,0,0,0
0,1,9,0,0,0
0,1,10,0,0,0
0,1,11,0,0,0
0,1,12,0,0,0
0,1,13,0,0,0
0,1,14,0,0,0
0,1,15,0,0,0
0,1,16,0,0,0
0,1,17,0,0,0
0,1,18,0,0,0
0,1,19,0,0,0
0,1,20,0,0,0
0,1,21,0,0,0
0,1,22,0,0,0
0,1,23,0,0,0
0,1,24,0,0,0
0,1,25,0,0,0
0,1,26,0,0,0
0,1,27,0,0,0
0,1,28,0.0347080845911735,0.001204651135988055,1
0,1,29,0,0,0
0,1,30,0.3561353160035099,0.06366228541139793,2
0,1,31,0,0,0
0,1,32,0,0,0
0,1,33,0,0,0
0,1,34,0,0,0
0,1,35,0.1200096069202474,0.0144023057531523,1
0,1,36,0,0,0
0,1,37,0,0,0
0,1,38,0,0,0
0,1,39,0,0,0
0,1,40,1.254293291266212,1.324297518962227,2
0,1,41,1.216268286145573,0.8322039451272909,4
0,1,42,0,0,0
0,1,43,0,0,0
0,1,44,0,0,0
0,1,45,0,0,0
0,1,46,0,0,0
0,1,47,2.948229585825421,3.744284785222766,4
0,1,48,0.3262387704481375,0.1064317353435125,1
0,1,49,0,0,0
0,1,50,0,0,0
0,1,51,0.8257229760902511,0.6818184332433415,1
0,1,52,0,0,0
0,1,53,0,0,0
0,1,54,0,0,0
0,1,55,0,0,0
0,1,56,0,0,0
0,1,57,0,0,0
0,1,58,0,0,0
0,1,59,0,0,0
0,1,60,0,0,0
0,1,61,0.06535900371035765,0.004271799366010545,1
0,1,62,0,0,0
0,1,63,0,0,0
0,1,64,0,0,0
0,1,65,0,0,0
0,1,66,0.2881404054583833,0.0830248932577215,1
0,1,67,0.4463845358194724,0.1992591538187658,1
0,1,68,0.06712586187482579,0.00450588133243819,1
0,1,69,0,0,0
0,1,70,0,0,0
0,1,71,0,0,0
0,1,72,0,0,0
0,1,73,0,0,0
0,1,74,1.770870958482309,3.135983951596053,1
0,1,75,0.09002693616521461,0.008104849235295626,1
0,1,76,0,0,0
0,1,77,1.461989362520543,2.137412896123223,1
0,1,78,0.9957879516367742,0.9915936446249627,1
0,1,79,0,0,0
0,1,80,0,0,0
0,1,81,2.305287577735974,3.435221438022282,2
0,1,82,0.004201634989282721,1.765373658316481e-05,1
0,1,83,0,0,0
0,1,84,0,0,0
0,1,85,0,0,0
0,1,86,0,0,0
0,1,87,0,0,0
0,1,88,0,0,0
0,1,89,0,0,0
0,1,90,0,0,0
0,1,91,0,0,0
0,1,92,0,0,0
0,1,93,0.005566909894195948,3.099048577009674e-05,1
0,1,94,0,0,0
0,1,95,0.6529779633027626,0.3222672621133955,2
0,1,96,2.494142634507391,5.518110380965679,3
0,1,97,0,0,0
0,1,98,0,0,0
0,1,99,0,0,0
0,2,0,0,0,0
0,2,1,0,0,0
0,2,2,0,0,0
0,2,3,0,0,0
0,2,4,0,0,0
0,2,5,0,0,0
0,2,6,0,0,0
0,2,7,0,0,0
0,2,8,0,0,0
0,2,9,0,0,0
0,2,10,0,0,0
0,2,11,0,0,0
0,2,12,0,0,0
0,2,13,0,0,0
0,2,14,0,0,0
0,2,15,0,0,0
0,2,16,0,0,0
0,2,17,0,0,0
0,2,18,0,0,0
0,2,19,0,0,0
0,2,20,0,0,0
0,2,21,0.9590186665395564,0.9197168027713089,1
0,2,22,0,0,0
0,2,23,0.08529568206355015,0.007275353378686231,1
0,2,24,0,0,0
0,2,25,0,0,0
0,2,26,0,0,0
0,2,27,0,0,0
0,2,28,0,0,0
0,2,29,0,0,0
0,2,30,0,0,0
0,2,31,0,0,0
0,2,32,0,0,0
0,2,33,0,0,0
0,2,34,0,0,0
0,2,35,0.6589410540053459,0.4342033126536761,1
0,2,36,0.1251196078734301,0.01565491627440091,1
0,2,37,0,0,0
0,2,38,0,0,0
0,2,39,0.4996727776346656,0.1316618798905704,2
