# mesh name: rodMesh
# primitive scorer name: eDep
# iX, iY, iZ, total(value) [MeV], total(val^2), entry
0,0,0,0,0,0
0,0,1,0,0,0
0,0,2,0,0,0
0,0,3,0.2722486421329342,0.07411932314322647,1
0,0,4,0.6224944559668126,0.387499347709418,1
0,0,5,0,0,0
0,0,6,0,0,0
0,0,7,0,0,0
0,0,8,0,0,0
0,0,9,0,0,0
0,0,10,0,0,0
0,0,11,0.2104400306137677,0.04428500648472349,1
0,0,12,0,0,0
0,0,13,0,0,0
0,0,14,0,0,0
0,0,15,0,0,0
0,0,16,0,0,0
0,0,17,0,0,0
0,0,18,0,0,0
0,0,19,0,0,0
0,0,20,0,0,0
0,0,21,0,0,0
0,0,22,0,0,0
0,0,23,0,0,0
0,0,24,0,0,0
0,0,25,0,0,0
0,0,26,0,0,0
0,0,27,0.7014446668010162,0.4920246205835887,1
0,0,28,0.00187927833066126,3.531687044092973e-06,1
0,0,29,0,0,0
0,0,30,0,0,0
0,0,31,0,0,0
0,0,32,0,0,0
0,0,33,0,0,0
0,0,34,0,0,0
0,0,35,0,0,0
0,0,36,0,0,0
0,0,37,0,0,0
0,0,38,0,0,0
0,0,39,0,0,0
0,0,40,0,0,0
0,0,41,0,0,0
0,0,42,0,0,0
0,0,43,0,0,0
0,0,44,0,0,0
0,0,45,0,0,0
0,0,46,0,0,0
0,0,47,0,0,0
0,0,48,0,0,0
0,0,49,0,0,0
0,0,50,0,0,0
0,0,51,0,0,0
0,0,52,0,0,0
0,0,53,0,0,0
0,0,54,0,0,0
0,0,55,0.009808757749851793,9.621172859527761e-05,1
0,0,56,0,0,0
0,0,57,0,0,0
0,0,58,0,0,0
0,0,59,0,0,0
0,0,60,0,0,0
0,0,61,0,0,0
0,0,62,0,0,0
0,0,63,0,0,0
0,0,64,0,0,0
0,0,65,0,0,0
0,0,66,0,0,0
0,0,67,0,0,0
0,0,68,0,0,0
0,0,69,0,0,0
0,0,70,0,0,0
0,0,71,0,0,0
0,0,72,0,0,0
0,0,73,0,0,0
0,0,74,0,0,0
0,0,75,0,0,0
0,0,76,0,0,0
0,0,77,0,0,0
0,0,78,0,0,0
0,0,79,0,0,0
0,0,80,0,0,0
0,0,81,0,0,0
0,0,82,0,0,0
0,0,83,0,0,0
0,0,84,0,0,0
0,0,85,0,0,0
0,0,86,0,0,0
0,0,87,0,0,0
0,0,88,0,0,0
0,0,89,0,0,0
0,0,90,0,0,0
0,0,91,0,0,0
0,0,92,0,0,0
0,0,93,0,0,0
0,0,94,0,0,0
0,0,95,0,0,0
0,0,96,0,0,0
0,0,97,0.0242983544467279,0.0005904100288188214,1
0,0,98,0,0,0
0,0,99,0,0,0
0,1,0,0,0,0
0,1,1,0,0,0
0,1,2,0.2654311861817578,0.07045371459785499,1
0,1,3,0,0,0
0,1,4,0.3632366427777158,0.1319408586564259,1
0,1,5,1.506429526596118,2.269329918600604,1
0,1,6,0,0,0
0,1,7,0,0,0
0,1,8,0,0,0
0,1,9,0,0,0
0,1,10,0,0,0
0,1,11,0,0,0
0,1,12,0.4921647768695449,0.2422261675910489,1
0,1,13,0,0,0
0,1,14,0,0,0
0,1,15,0,0,0
0,1,16,0,0,0
0,1,17,0,0,0
0,1,18,0,0,0
0,1,19,0,0,0
0,1,20,0,0,0
0,1,21,0,0,0
0,1,22,0,0,0
0,1,23,0,0,0
0,1,24,0,0,0
0,1,25,0,0,0
0,1,26,0,0,0
0,1,27,0.4780609338721494,0.1720884538320767,2
0,1,28,0.1327905763749985,0.0176333371740043,1
0,1,29,0,0,0
0,1,30,0,0,0
0,1,31,0,0,0
0,1,32,0,0,0
0,1,33,0,0,0
0,1,34,0,0,0
0,1,35,0.03128969245085644,0.0009790448536691827,1
0,1,36,0,0,0
0,1,37,0,0,0
0,1,38,0,0,0
0,1,39,0,0,0
0,1,40,0,0,0
0,1,41,0,0,0
0,1,42,0,0,0
0,1,43,0,0,0
0,1,44,0,0,0
0,1,45,0,0,0
0,1,46,0,0,0
0,1,47,0,0,0
0,1,48,0,0,0
0,1,49,0,0,0
0,1,50,0,0,0
0,1,51,0,0,0
0,1,52,0,0,0
0,1,53,0,0,0
0,1,54,0,0,0
0,1,55,0,0,0
0,1,56,0,0,0
0,1,57,0,0,0
0,1,58,0,0,0
0,1,59,0,0,0
0,1,60,0,0,0
0,1,61,0,0,0
0,1,62,0,0,0
0,1,63,0,0,0
0,1,64,0,0,0
0,1,65,0,0,0
0,1,66,0,0,0
0,1,67,0,0,0
0,1,68,0,0,0
0,1,69,0,0,0
0,1,70,0,0,0
0,1,71,0,0,0
0,1,72,0,0,0
0,1,73,0,0,0
0,1,74,0,0,0
0,1,75,0,0,0
0,1,76,0,0,0
0,1,77,0,0,0
0,1,78,0,0,0
0,1,79,0,0,0
0,1,80,0,0,0
0,1,81,0,0,0
0,1,82,0,0,0
0,1,83,0,0,0
0,1,84,0,0,0
0,1,85,0,0,0
0,1,86,0,0,0
0,1,87,0.6981800853215088,0.4874554315395493,1
0,1,88,0,0,0
0,1,89,0,0,0
0,1,90,0,0,0
0,1,91,0.2798638687511448,0.07832378503235801,1
0,1,92,0,0,0
0,1,93,0,0,0
0,1,94,0,0,0
0,1,95,0,0,0
0,1,96,0,0,0
0,1,97,0,0,0
0,1,98,0,0,0
0,1,99,0,0,0
0,2,0,0,0,0
0,2,1,0.5593171647796226,0.3128356908171155,1
0,2,2,1.031134786304742,1.063238947527727,1
0,2,3,0,0,0
0,2,4,0,0,0
0,2,5,0,0,0
0,2,6,0,0,0
0,2,7,0,0,0
0,2,8,0.03273664360102767,0.001071687834260706,1
0,2,9,0,0,0
0,2,10,0,0,0
0,2,11,0,0,0
0,2,12,0,0,0
0,2,13,0.2941935570888177,0.08654984903257142,1
0,2,14,0,0,0
0,2,15,0,0,0
0,2,16,0,0,0
0,2,17,0.05308491990686429,0.002818008721518196,1
0,2,18,0,0,0
0,2,19,0,0,0
0,2,20,0.4457183775167656,0.198664872056178,1
0,2,21,0.4235452717919594,0.1793905972573248,1
0,2,22,0,0,0
0,2,23,0.01520615901740927,0.0002312272720627371,1
0,2,24,0,0,0
0,2,25,0,0,0
0,2,26,0,0,0
0,2,27,0,0,0
0,2,28,0,0,0
0,2,29,0,0,0
0,2,30,0,0,0
0,2,31,0,0,0
0,2,32,0,0,0
0,2,33,0,0,0
0,2,34,0,0,0
0,2,35,0,0,0
0,2,36,0.1505810217747675,0.02267464411873299,1
0,2,37,0,0,0
0,2,38,0,0,0
0,2,39,0,0,0
0,2,40,0,0,0
0,2,41,0,0,0
0,2,42,0,0,0
0,2,43,0,0,0
0,2,44,0.2176138434402096,0.04735578485682008,1
0,2,45,0,0,0
0,2,46,0,0,0
0,2,47,0,0,0
0,2,48,0,0,0
0,2,49,0,0,0
0,2,50,0.04447640258149477,0.001978150386591195,1
0,2,51,0,0,0
0,2,52,0,0,0
0,2,53,0,0,0
0,2,54,0,0,0
0,2,55,0,0,0
0,2,56,0.03115603552151908,0.0009706985494181585,1
0,2,57,0.1427982849037597,0.02039135017145534,1
0,2,58,0,0,0
0,2,59,0,0,0
0,2,60,0,0,0
0,2,61,0,0,0
0,2,62,0,0,0
0,2,63,0,0,0
