Ray,N,Total_MeV,Mean_MeV,Max_MeV,NonzeroVoxels,Std_MeV,CV_pct
gamma,500,652.000000,32.600000,50.000000,20,9.286549,28.49
gamma,1000,1362.000000,68.100000,90.000000,20,10.138540,14.89
gamma,2000,2559.000000,127.950000,166.000000,20,17.307441,13.53
gamma,5000,6153.000000,307.650000,402.000000,20,50.500767,16.42
neutron,500,449.000000,22.450000,32.000000,20,4.631145,20.63
neutron,1000,995.000000,49.750000,68.000000,20,8.768552,17.63
neutron,2000,1946.000000,97.300000,155.000000,20,22.718054,23.35
neutron,5000,4813.000000,240.650000,298.000000,20,30.402755,12.63
carbon,500,373.000000,31.083333,93.000000,12,26.125227,84.05
carbon,1000,1879.000000,110.529412,234.000000,17,69.554637,62.93
carbon,2000,3330.000000,222.000000,513.000000,15,173.151523,78.00
carbon,5000,6170.000000,440.714286,1433.000000,14,354.325063,80.40
alpha,500,2.000000,1.000000,1.000000,2,0.300000,30.00
alpha,1000,3.000000,1.000000,1.000000,3,0.357071,35.71
alpha,2000,21.000000,2.100000,5.000000,10,1.395529,66.45
alpha,5000,34.000000,3.400000,7.000000,10,2.389561,70.28
